time/h,Ecell/V,(Q-Qo)/mA.h/g
3.58971,0.875541,-35.7298
3.59804,0.874872,-35.8132
3.60637,0.874203,-35.8965
3.61471,0.873376,-35.9798
3.62304,0.872667,-36.0632
3.63137,0.872037,-36.1465
3.63971,0.871367,-36.2298
3.64804,0.87058,-36.3132
3.65637,0.86991,-36.3965
3.66471,0.869202,-36.4798
3.67304,0.868453,-36.5632
3.68137,0.867823,-36.6465
3.68971,0.867075,-36.7298
3.69804,0.866366,-36.8131
3.70637,0.865658,-36.8965
3.71471,0.864909,-36.9798
3.72304,0.864122,-37.0631
3.73137,0.863413,-37.1465
3.73971,0.862744,-37.2298
3.74804,0.862074,-37.3131
3.75637,0.861326,-37.3965
3.76471,0.860657,-37.4798
3.77304,0.859908,-37.5631
3.78137,0.859121,-37.6465
3.78971,0.85853,-37.7298
3.79804,0.857703,-37.8131
3.80637,0.856955,-37.8964
3.81471,0.856325,-37.9798
3.82304,0.855538,-38.0631
3.83137,0.854908,-38.1464
3.83971,0.854199,-38.2298
3.84804,0.853529,-38.3131
3.85637,0.852742,-38.3964
3.86471,0.852033,-38.4798
3.87304,0.851364,-38.5631
3.88137,0.850576,-38.6464
3.88971,0.849788,-38.7297
3.89804,0.849119,-38.8131
3.90637,0.84841,-38.8964
3.91471,0.84778,-38.9797
3.92304,0.846993,-39.0631
3.93137,0.846205,-39.1464
3.93971,0.845614,-39.2297
3.94804,0.844787,-39.3131
3.95637,0.844079,-39.3964
3.96471,0.84337,-39.4797
3.97304,0.842622,-39.563
3.98137,0.842031,-39.6464
3.98971,0.841243,-39.7297
3.99804,0.840574,-39.813
4.00637,0.839786,-39.8964
4.01471,0.839117,-39.9797
4.02304,0.838408,-40.063
4.03137,0.83766,-40.1464
4.03971,0.836912,-40.2297
4.04804,0.836242,-40.313
4.05637,0.835455,-40.3964
4.06471,0.834707,-40.4797
4.07304,0.834116,-40.563
4.08137,0.833289,-40.6463
4.08971,0.832541,-40.7297
4.09804,0.831832,-40.813
4.10637,0.831163,-40.8963
4.11471,0.830415,-40.9797
4.12304,0.829666,-41.063
4.13137,0.828958,-41.1463
4.13971,0.828209,-41.2297
4.14804,0.827461,-41.313
4.15637,0.826871,-41.3963
4.16471,0.82624,-41.4797
4.17273,0.825217,-41.5599
4.18106,0.824744,-41.6432
4.18939,0.824035,-41.7265
4.19773,0.823208,-41.8098
4.20606,0.822578,-41.8932
4.21439,0.821712,-41.9765
4.22273,0.821161,-42.0598
4.23106,0.820334,-42.1432
4.23939,0.819664,-42.2265
4.24773,0.818956,-42.3098
4.25606,0.818365,-42.3932
4.26423,0.817341,-42.4748
4.27256,0.81675,-42.5582
4.2809,0.816042,-42.6415
4.28923,0.815333,-42.7248
4.29756,0.814624,-42.8082
4.3059,0.813837,-42.8915
4.31423,0.813088,-42.9748
4.32256,0.812419,-43.0582
4.3309,0.811671,-43.1415
4.33923,0.811041,-43.2248
4.34756,0.810214,-43.3081
4.3559,0.809544,-43.3915
4.36423,0.808836,-43.4748
4.37256,0.808048,-43.5581
4.3809,0.807379,-43.6415
